scientific_name,common_name,order,family,iucn_status,rare_accidental,wpa_schedule,soib_priority,wh_endemic
Acridotheres fuscus,Jungle Myna,Passeriformes,Sturnidae,,no,Schedule-II,Low,no
Acridotheres ginginianus,Bank Myna,Passeriformes,Sturnidae,,no,Schedule-II,High,no
Acrocephalus agricola,Paddyfield Warbler,Passeriformes,Acrocephalidae,,no,Schedule-II,Low,no
Acrocephalus bistrigiceps,Black-browed Reed Warbler,Passeriformes,Acrocephalidae,,no,,,no
Acrocephalus concinens,Blunt-winged Warbler,Passeriformes,Acrocephalidae,,no,Schedule-II,,no
Acrocephalus dumetorum,Blyth's Reed Warbler,Passeriformes,Acrocephalidae,,no,Schedule-II,Low,no
Acrocephalus melanopogon,Moustached Warbler,Passeriformes,Acrocephalidae,,no,Schedule-II,,no
Acrocephalus orientalis,Oriental Reed Warbler,Passeriformes,Acrocephalidae,,no,,,no
Acrocephalus orinus,Large-billed Reed Warbler,Passeriformes,Acrocephalidae,,yes,,,no
Acrocephalus schoenobaenus,Sedge Warbler,Passeriformes,Acrocephalidae,,no,,,no
Actitis hypoleucos,Common Sandpiper,Charadriiformes,Scolopacidae,,no,Schedule-II,Moderate,no
Aegithalos concinnus,Black-throated Tit,Passeriformes,Aegithalidae,,no,Schedule-II,Low,no
Aegithalos leucogenys,White-cheeked Tit,Passeriformes,Aegithalidae,,no,,,no
Aegithalos niveogularis,White-throated Tit,Passeriformes,Aegithalidae,,no,Schedule-II,Moderate,yes
Aegithina tiphia,Common Iora,Passeriformes,Aegithinidae,,no,Schedule-II,Low,no
Aegolius funereus,Boreal Owl,Strigiformes,Strigidae,,yes,,,no
Aegypius monachus,Cinereous Vulture,Accipitriformes,Accipitridae,Near-threatened,no,Schedule-I,Moderate,no
Aerodramus brevirostris,Himalayan Swiftlet,Apodiformes,Apodidae,,no,,,no
Aethopyga gouldiae,Mrs. Gould's Sunbird,Passeriformes,Nectariniidae,,no,Schedule-II,Low,no
Aethopyga siparaja,Crimson Sunbird,Passeriformes,Nectariniidae,,no,Schedule-II,Low,no
Agropsar sturninus,Daurian Starling,Passeriformes,Sturnidae,,no,,,no
Alaemon alaudipes,Greater Hoopoe-Lark,Passeriformes,Alaudidae,,no,,,no
Alaudala heinei,Turkestan Short-toed Lark,Passeriformes,Alaudidae,,no,,,no
Alaudala raytal,Sand Lark,Passeriformes,Alaudidae,,no,Schedule-II,Moderate,no
Alcedo atthis,Common Kingfisher,Coraciiformes,Alcedinidae,,no,Schedule-II,Low,no
Amandava amandava,Red Avadavat,Passeriformes,Estrildidae,,no,Schedule-II,Low,no
Amaurornis phoenicurus,White-breasted Waterhen,Gruiformes,Rallidae,,no,Schedule-II,Low,no
Ammomanes deserti,Desert Lark,Passeriformes,Alaudidae,,no,,,no
Anarhynchus alexandrinus,Kentish Plover,Charadriiformes,Charadriidae,,no,Schedule-II,High,no
Anarhynchus asiaticus,Caspian Plover,Charadriiformes,Charadriidae,,yes,Schedule-II,,no
Anarhynchus atrifrons,Tibetan Sand-Plover,Charadriiformes,Charadriidae,,no,Schedule-II,High,no
Anarhynchus leschenaultii,Greater Sand-Plover,Charadriiformes,Charadriidae,,no,,,no
Anas acuta,Northern Pintail,Anseriformes,Anatidae,,no,Schedule-II,High,no
Anas crecca,Green-winged Teal,Anseriformes,Anatidae,,no,Schedule-II,High,no
Anas platyrhynchos,Mallard,Anseriformes,Anatidae,,no,Schedule-II,Low,no
Anas poecilorhyncha,Indian Spot-billed Duck,Anseriformes,Anatidae,,no,Schedule-II,Low,no
Anas zonorhyncha,Eastern Spot-billed Duck,Anseriformes,Anatidae,,yes,,,no
Anhinga melanogaster,Oriental Darter,Suliformes,Anhingidae,,no,Schedule-II,Low,no
Anser albifrons,Greater White-fronted Goose,Anseriformes,Anatidae,,no,Schedule-II,,no
Anser anser,Graylag Goose,Anseriformes,Anatidae,,no,Schedule-II,Low,no
Anser erythropus,Lesser White-fronted Goose,Anseriformes,Anatidae,Vulnerable,no,Schedule-II,,no
Anser fabalis,Taiga Bean-Goose,Anseriformes,Anatidae,,yes,,,no
Anser serrirostris,Tundra Bean-Goose,Anseriformes,Anatidae,,yes,Schedule-II,,no
Anthus campestris,Tawny Pipit,Passeriformes,Motacillidae,,no,Schedule-II,High,no
Anthus godlewskii,Blyth's Pipit,Passeriformes,Motacillidae,,no,,,no
Anthus hodgsoni,Olive-backed Pipit,Passeriformes,Motacillidae,,no,Schedule-II,High,no
Anthus japonicus,Siberian Pipit,Passeriformes,Motacillidae,,no,Schedule-II,,no
Anthus pratensis,Meadow Pipit,Passeriformes,Motacillidae,,yes,,,no
Anthus richardi,Richard's Pipit,Passeriformes,Motacillidae,,no,Schedule-II,Low,no
Anthus rufulus,Paddyfield Pipit,Passeriformes,Motacillidae,,no,Schedule-II,Low,no
Anthus similis,Long-billed Pipit,Passeriformes,Motacillidae,,no,Schedule-II,Moderate,no
Anthus sylvanus,Upland Pipit,Passeriformes,Motacillidae,,no,Schedule-II,Low,no
Anthus trivialis,Tree Pipit,Passeriformes,Motacillidae,,no,Schedule-II,Moderate,no
Antigone antigone,Sarus Crane,Gruiformes,Gruidae,Vulnerable,no,Schedule-I,High,no
Apus affinis,Little Swift,Apodiformes,Apodidae,,no,Schedule-II,Low,no
Apus leuconyx,Blyth's Swift,Apodiformes,Apodidae,,no,Schedule-II,Moderate,no
Apus nipalensis,House Swift,Apodiformes,Apodidae,,no,,,no
Aquila chrysaetos,Golden Eagle,Accipitriformes,Accipitridae,,no,Schedule-I,Low,no
Aquila fasciata,Bonelli's Eagle,Accipitriformes,Accipitridae,,no,Schedule-I,Low,no
Aquila heliaca,Imperial Eagle,Accipitriformes,Accipitridae,Vulnerable,no,Schedule-I,Moderate,no
Aquila nipalensis,Steppe Eagle,Accipitriformes,Accipitridae,Endangered,no,Schedule-I,Low,no
Aquila rapax,Tawny Eagle,Accipitriformes,Accipitridae,Vulnerable,no,Schedule-I,High,no
Arborophila torqueola,Hill Partridge,Galliformes,Phasianidae,,no,Schedule-II,Low,no
Ardea alba,Great Egret,Pelecaniformes,Ardeidae,,no,Schedule-II,Low,no
Ardea cinerea,Gray Heron,Pelecaniformes,Ardeidae,,no,Schedule-II,Low,no
Ardea coromanda,Eastern Cattle-Egret,Pelecaniformes,Ardeidae,,no,Schedule-II,Low,no
Ardea intermedia,Medium Egret,Pelecaniformes,Ardeidae,,no,Schedule-II,Low,no
Ardea purpurea,Purple Heron,Pelecaniformes,Ardeidae,,no,Schedule-II,Low,no
Ardeola bacchus,Chinese Pond-Heron,Pelecaniformes,Ardeidae,,no,Schedule-II,,no
Ardeola grayii,Indian Pond-Heron,Pelecaniformes,Ardeidae,,no,Schedule-II,Low,no
Arenaria interpres,Ruddy Turnstone,Charadriiformes,Scolopacidae,Near-threatened,no,Schedule-II,Moderate,no
Argya caudata,Common Babbler,Passeriformes,Leiothrichidae,,no,Schedule-II,Moderate,no
Argya earlei,Striated Babbler,Passeriformes,Leiothrichidae,,no,Schedule-II,Low,no
Argya malcolmi,Large Gray Babbler,Passeriformes,Leiothrichidae,,no,,,no
Argya striata,Jungle Babbler,Passeriformes,Leiothrichidae,,no,Schedule-II,Low,no
Arundinax aedon,Thick-billed Warbler,Passeriformes,Acrocephalidae,,no,,,no
Asio flammeus,Short-eared Owl,Strigiformes,Strigidae,,no,Schedule-I,Low,no
Asio otus,Long-eared Owl,Strigiformes,Strigidae,,no,Schedule-I,,no
Astur gentilis,Eurasian Goshawk,Accipitriformes,Accipitridae,,no,Schedule-I,,no
Athene brama,Spotted Owlet,Strigiformes,Strigidae,,no,Schedule-II,,no
Athene noctua,Little Owl,Strigiformes,Strigidae,,no,,,no
Aythya ferina,Common Pochard,Anseriformes,Anatidae,Vulnerable,no,Schedule-I,High,no
Aythya fuligula,Tufted Duck,Anseriformes,Anatidae,,no,Schedule-II,High,no
Aythya marila,Greater Scaup,Anseriformes,Anatidae,,no,Schedule-II,,no
Aythya nyroca,Ferruginous Duck,Anseriformes,Anatidae,Near-threatened,no,Schedule-II,Moderate,no
Bombycilla garrulus,Bohemian Waxwing,Passeriformes,Bombycillidae,,no,Schedule-II,,no
Botaurus cinnamomeus,Cinnamon Bittern,Pelecaniformes,Ardeidae,,no,Schedule-I,Low,no
Botaurus flavicollis,Black Bittern,Pelecaniformes,Ardeidae,,no,Schedule-II,Low,no
Botaurus minutus,Little Bittern,Pelecaniformes,Ardeidae,,no,Schedule-II,,no
Botaurus sinensis,Yellow Bittern,Pelecaniformes,Ardeidae,,no,Schedule-II,Low,no
Botaurus stellaris,Eurasian Bittern,Pelecaniformes,Ardeidae,,no,Schedule-II,,no
Bubo bengalensis,Rock Eagle-Owl,Strigiformes,Strigidae,,no,Schedule-I,,no
Bucanetes githagineus,Trumpeter Finch,Passeriformes,Fringillidae,,no,,,no
Bucephala clangula,Common Goldeneye,Anseriformes,Anatidae,,no,Schedule-II,,no
Burhinus indicus,Indian Thick-knee,Charadriiformes,Burhinidae,,no,Schedule-II,Low,no
Butastur teesa,White-eyed Buzzard,Accipitriformes,Accipitridae,,no,Schedule-I,Moderate,no
Buteo buteo,Common Buzzard,Accipitriformes,Accipitridae,,no,Schedule-I,Low,no
Buteo lagopus,Rough-legged Hawk,Accipitriformes,Accipitridae,,yes,,,no
Buteo rufinus,Long-legged Buzzard,Accipitriformes,Accipitridae,,no,Schedule-I,Low,no
Butorides atricapilla,Little Heron,Pelecaniformes,Ardeidae,,no,,,no
Cacomantis passerinus,Gray-bellied Cuckoo,Cuculiformes,Cuculidae,,no,Schedule-II,Low,no
Cacomantis sonneratii,Banded Bay Cuckoo,Cuculiformes,Cuculidae,,no,Schedule-II,Moderate,no
Calandrella brachydactyla,Greater Short-toed Lark,Passeriformes,Alaudidae,,no,Schedule-II,Moderate,no
Calandrella dukhunensis,Mongolian Short-toed Lark,Passeriformes,Alaudidae,,no,,,no
Calcarius lapponicus,Lapland Longspur,Passeriformes,Calcariidae,,yes,,,no
Calidris acuminata,Sharp-tailed Sandpiper,Charadriiformes,Scolopacidae,Vulnerable,yes,Schedule-II,,no
Calidris alba,Sanderling,Charadriiformes,Scolopacidae,,no,Schedule-II,High,no
Calidris alpina,Dunlin,Charadriiformes,Scolopacidae,Near-threatened,no,Schedule-II,High,no
Calidris falcinellus,Broad-billed Sandpiper,Charadriiformes,Scolopacidae,Vulnerable,no,Schedule-II,Moderate,no
Calidris ferruginea,Curlew Sandpiper,Charadriiformes,Scolopacidae,Vulnerable,no,Schedule-II,High,no
Calidris minuta,Little Stint,Charadriiformes,Scolopacidae,,no,Schedule-II,High,no
Calidris pugnax,Ruff,Charadriiformes,Scolopacidae,,no,Schedule-II,High,no
Calidris ruficollis,Red-necked Stint,Charadriiformes,Scolopacidae,Near-threatened,no,,,no
Calidris subminuta,Long-toed Stint,Charadriiformes,Scolopacidae,,no,,,no
Calliope calliope,Siberian Rubythroat,Passeriformes,Muscicapidae,,no,Schedule-II,Low,no
Calliope tschebaiewi,Chinese Rubythroat,Passeriformes,Muscicapidae,,no,,,no
Caprimulgus affinis,Savanna Nightjar,Caprimulgiformes,Caprimulgidae,,no,Schedule-II,,no
Caprimulgus asiaticus,Indian Nightjar,Caprimulgiformes,Caprimulgidae,,no,,,no
Caprimulgus europaeus,Eurasian Nightjar,Caprimulgiformes,Caprimulgidae,,no,,,no
Caprimulgus indicus,Jungle Nightjar,Caprimulgiformes,Caprimulgidae,,no,Schedule-II,,no
Caprimulgus jotaka,Gray Nightjar,Caprimulgiformes,Caprimulgidae,,no,Schedule-II,,no
Caprimulgus mahrattensis,Sykes's Nightjar,Caprimulgiformes,Caprimulgidae,,no,Schedule-II,,no
Carduelis caniceps,Gray-crowned Goldfinch,Passeriformes,Fringillidae,,no,Schedule-II,Low,no
Carpodacus puniceus,Red-fronted Rosefinch,Passeriformes,Fringillidae,,no,Schedule-II,,no
Carpodacus rodopeplus,Spot-winged Rosefinch,Passeriformes,Fringillidae,,no,,,no
Carpodacus roseus,Pallas's Rosefinch,Passeriformes,Fringillidae,,yes,,,no
Carpodacus sillemi,Sillem's Rosefinch,Passeriformes,Fringillidae,,yes,,,no
Carpodacus stoliczkae,Pale Rosefinch,Passeriformes,Fringillidae,,yes,,,no
Carpodacus vinaceus,Vinaceous Rosefinch,Passeriformes,Fringillidae,,no,,,no
Catreus wallichii,Cheer Pheasant,Galliformes,Phasianidae,Vulnerable,no,Schedule-I,High,yes
Cecropis daurica,Eastern Red-rumped Swallow,Passeriformes,Hirundinidae,,no,Schedule-II,Low,no
Cecropis rufula,European Red-rumped Swallow,Passeriformes,Hirundinidae,,no,,,no
Centropus sinensis,Greater Coucal,Cuculiformes,Cuculidae,,no,Schedule-II,Low,no
Cephalopyrus flammiceps,Fire-capped Tit,Passeriformes,Paridae,,no,Schedule-II,,no
Cercotrichas galactotes,Rufous-tailed Scrub-Robin,Passeriformes,Muscicapidae,,no,Schedule-II,,no
Ceryle rudis,Pied Kingfisher,Coraciiformes,Alcedinidae,,no,Schedule-II,Moderate,no
Cettia brunnifrons,Gray-sided Bush Warbler,Passeriformes,Cettiidae,,no,Schedule-II,Low,no
Cettia castaneocoronata,Chestnut-headed Tesia,Passeriformes,Cettiidae,,no,,,no
Cettia cetti,Cetti's Warbler,Passeriformes,Cettiidae,,no,,,no
Chalcophaps indica,Asian Emerald Dove,Columbiformes,Columbidae,,no,Schedule-II,Low,no
Charadrius hiaticula,Common Ringed Plover,Charadriiformes,Charadriidae,,no,,,no
Chlamydotis macqueenii,Asian Houbara,Otidiformes,Otididae,Vulnerable,no,Schedule-I,High,no
Chlidonias leucopterus,White-winged Tern,Charadriiformes,Laridae,,no,Schedule-II,,no
